Height,City
284.4,chengdu
248,chengdu
248,chengdu
240.85,chengdu
232.1,chengdu
229.2,chengdu
227.6,chengdu
224.05,chengdu
224.05,chengdu
220.15,chengdu
218.6,chengdu
218.6,chengdu
216.21,chengdu
210.1,chengdu
210,chengdu
209.9,chengdu
209.9,chengdu
208.15,chengdu
208,chengdu
206.5,chengdu
355,chongqing
355,chongqing
339,chongqing
316,chongqing
301,chongqing
290,chongqing
288,chongqing
283,chongqing
274,chongqing
273,chongqing
265,chongqing
265,chongqing
265,chongqing
265,chongqing
262,chongqing
258,chongqing
258,chongqing
256,chongqing
249,chongqing
247,chongqing
350,xi'an
270,xi'an
270,xi'an
238,xi'an
228,xi'an
221.5,xi'an
218,xi'an
216,xi'an
212,xi'an
212,xi'an
210,xi'an
200,xi'an
200,xi'an
200,xi'an
200,xi'an
195,xi'an
188,xi'an
165,xi'an
163,xi'an
148.6,xi'an
